id,nombre,precio
1,Mouse,1500
2,Teclado,3500
3,Monitor,120000
4,Auriculares,18000
5,Webcam,22000
6,Parlantes,15000
7,Mousepad,2000
8,Hub USB,9500
9,Disco SSD 500GB,65000
10,Disco SSD 1TB,120000
11,Memoria RAM 8GB,32000
12,Memoria RAM 16GB,58000
13,Teclado Mecánico,45000
14,Mouse Gamer,12000
15,Monitor 24 pulgadas,210000
16,Monitor 27 pulgadas,320000
17,Placa de Video RTX 4060,850000
18,Fuente 650W,78000
19,Gabinete ATX,95000
20,Cámara Web HD,25000
21,Micrófono USB,42000
22,Soporte para Monitor,30000
23,Tablet Gráfica,110000
24,Monitor 32 pulgadas,380000
25,Notebook,500000
